RegionName,rent_date,avg_rents,avg_rents_yy
Maricopa County,2022-11-30,1891.6546529509383,0.3007209480405677
Maricopa County,2022-12-31,1880.2561336151582,0.2834803452877279
San Diego County,2015-03-31,1794.8171703567746,NA
San Diego County,2015-04-30,1807.1141721511358,NA
San Diego County,2015-05-31,1813.5378425163142,NA
San Diego County,2015-06-30,1822.792992477324,NA
San Diego County,2015-07-31,1832.7326606388433,NA
San Diego County,2015-08-31,1844.9272131276493,NA
San Diego County,2015-09-30,1854.398910729791,NA
San Diego County,2015-10-31,1857.1246794925075,NA
San Diego County,2015-11-30,1861.5222735387938,NA
San Diego County,2015-12-31,1864.8660514291548,NA
San Diego County,2016-01-31,1872.6876724567878,NA
San Diego County,2016-02-29,1879.9359884121163,NA
San Diego County,2016-03-31,1895.234785521128,NA
San Diego County,2016-04-30,1909.048624636555,NA
San Diego County,2016-05-31,1925.7824928344494,NA
San Diego County,2016-06-30,1938.069792745469,NA
San Diego County,2016-07-31,1944.2315436502033,NA
San Diego County,2016-08-31,1948.4743235364376,NA
San Diego County,2016-09-30,1951.5102817537947,NA
San Diego County,2016-10-31,1958.6066752894,NA
San Diego County,2016-11-30,1959.2632318661592,NA
San Diego County,2016-12-31,1955.8188874742975,NA
San Diego County,2017-01-31,1958.2694833580533,NA
San Diego County,2017-02-28,1973.2650104824888,NA
San Diego County,2017-03-31,1991.3648691443084,0.10950847921098505
San Diego County,2017-04-30,2010.5504001976326,0.11257519374347691
San Diego County,2017-05-31,2026.511472293189,0.11743544842790277
San Diego County,2017-06-30,2042.7145071885755,0.12065084494995792
San Diego County,2017-07-31,2055.7350281482813,0.12167752138585519
San Diego County,2017-08-31,2063.2013158075033,0.11831041415981969
San Diego County,2017-09-30,2065.620284850625,0.11390287866255755
San Diego County,2017-10-31,2067.3606241919656,0.11320507827019388
San Diego County,2017-11-30,2061.164794150609,0.10724691476953985
San Diego County,2017-12-31,2061.597639340061,0.10549368291633576
San Diego County,2018-01-31,2067.39175241657,0.10397039657144158
San Diego County,2018-02-28,2082.5581082119966,0.10778139311595636
San Diego County,2018-03-31,2098.0670261233804,0.10702222339512413
San Diego County,2018-04-30,2111.8643467113443,0.10623915989222188
San Diego County,2018-05-31,2128.1214612441136,0.10506844317182096
San Diego County,2018-06-30,2143.855732940043,0.10618087179567337
San Diego County,2018-07-31,2156.545802751722,0.10920214713876542
San Diego County,2018-08-31,2167.7394244331035,0.11253168607257025
San Diego County,2018-09-30,2173.9594250893056,0.1139881995064862
San Diego County,2018-10-31,2174.7901106038207,0.11037613526078571
San Diego County,2018-11-30,2172.216879240381,0.10869067714366665
San Diego County,2018-12-31,2167.286193910647,0.10812213124162717
San Diego County,2019-01-31,2168.32548165891,0.10726613476131552
San Diego County,2019-02-28,2170.93822228967,0.10017570410314414
San Diego County,2019-03-31,2180.2288026864817,0.09484145094079532
San Diego County,2019-04-30,2193.299624319031,0.0908951221035963
San Diego County,2019-05-31,2207.0387413493095,0.0890827767443314
San Diego County,2019-06-30,2219.8727946413023,0.08672689542727774
San Diego County,2019-07-31,2230.848741331373,0.08518301764835257
San Diego County,2019-08-31,2240.724413287544,0.08604254762728325
San Diego County,2019-09-30,2246.7290751778846,0.08767767805899362
San Diego County,2019-10-31,2251.877198215393,0.0892522435922598
San Diego County,2019-11-30,2249.3841553835946,0.0913169882229381
San Diego County,2019-12-31,2247.3082862072188,0.09008093690221997
San Diego County,2020-01-31,2247.4492706161263,0.08709404881251337
San Diego County,2020-02-29,2255.22971109159,0.08291322206026841
San Diego County,2020-03-31,2263.0741713404436,0.07864722297359039
San Diego County,2020-04-30,2252.185380330894,0.06644415103558221
San Diego County,2020-05-31,2241.1988070421344,0.053134817658347044
San Diego County,2020-06-30,2237.9185858911237,0.04387555165481438
San Diego County,2020-07-31,2252.6763144614697,0.044576151170583334
San Diego County,2020-08-31,2265.273073274405,0.044993253221294216
San Diego County,2020-09-30,2276.918240802067,0.04736004477568945
San Diego County,2020-10-31,2290.0912323599855,0.0530171262017336
San Diego County,2020-11-30,2306.16231710811,0.061663013094056085
San Diego County,2020-12-31,2318.1666599853443,0.06961723213972437
San Diego County,2021-01-31,2325.4059327267946,0.0724432067033165
San Diego County,2021-02-28,2332.6538229682096,0.07449111127076624
San Diego County,2021-03-31,2350.182376663493,0.07795217353682982
San Diego County,2021-04-30,2384.6385554901117,0.08723793550572778
San Diego County,2021-05-31,2429.4301810411525,0.10076462887818649
San Diego County,2021-06-30,2477.7264305836984,0.11615694221977324
San Diego County,2021-07-31,2529.226447993624,0.13375075644267076
San Diego County,2021-08-31,2589.581861103954,0.1556895822385287
San Diego County,2021-09-30,2647.2376595342644,0.17826296404904518
San Diego County,2021-10-31,2690.7254997380546,0.19488109825457967
San Diego County,2021-11-30,2718.9451998254717,0.20875093448046522
San Diego County,2021-12-31,2736.8310561850326,0.21782626486194334
San Diego County,2022-01-31,2744.0964664791345,0.22098260563935002
San Diego County,2022-02-28,2767.4274222185436,0.2271155388774282
San Diego County,2022-03-31,2806.473994494386,0.24011578146026058
San Diego County,2022-04-30,2866.3076557662775,0.27267838642357045
San Diego County,2022-05-31,2913.3393590111623,0.2999022442172805
San Diego County,2022-06-30,2958.8830876830507,0.3221585031453875
San Diego County,2022-07-31,2995.002606904949,0.32953082858730265
San Diego County,2022-08-31,3030.707526011215,0.3378994178526966
San Diego County,2022-09-30,3039.75560823677,0.3350306364825757
San Diego County,2022-10-31,3036.717624491142,0.32602473717247626
San Diego County,2022-11-30,3009.1317727489513,0.30482219331480254
San Diego County,2022-12-31,2990.9599079290874,0.29022643606995735
New York County,2015-03-31,3104.846962309273,NA
New York County,2015-04-30,3135.515827569953,NA
New York County,2015-05-31,3158.056193879659,NA
New York County,2015-06-30,3180.032938830387,NA
New York County,2015-07-31,3194.73738257018,NA
New York County,2015-08-31,3209.0750946104135,NA
New York County,2015-09-30,3215.6674425052697,NA
New York County,2015-10-31,3211.4620942296556,NA
New York County,2015-11-30,3194.1406786004945,NA
New York County,2015-12-31,3175.4127638618434,NA
New York County,2016-01-31,3161.472063305779,NA
New York County,2016-02-29,3162.416155506598,NA
New York County,2016-03-31,3172.1783421253026,NA
New York County,2016-04-30,3188.247419924835,NA
New York County,2016-05-31,3208.7282289042805,NA
New York County,2016-06-30,3227.070264912183,NA
New York County,2016-07-31,3239.327360140234,NA
New York County,2016-08-31,3245.675801868311,NA
New York County,2016-09-30,3241.6642234032506,NA
New York County,2016-10-31,3229.446911427698,NA
New York County,2016-11-30,3197.6080476077823,NA
New York County,2016-12-31,3166.045820915066,NA
New York County,2017-01-31,3149.1264294968814,NA
New York County,2017-02-28,3157.244087750676,NA
New York County,2017-03-31,3173.8843502926684,0.02223535936600496
New York County,2017-04-30,3197.681277934626,0.019826227575719724
New York County,2017-05-31,3224.053699686223,0.020898141690596672
New York County,2017-06-30,3251.720707770412,0.02254309006195121
New York County,2017-07-31,3271.848513668622,0.024136923278621936
New York County,2017-08-31,3278.7137232774403,0.021700529471555097
New York County,2017-09-30,3270.2159883130166,0.01696336663633624
New York County,2017-10-31,3246.9953793129666,0.011064519536804429
New York County,2017-11-30,3212.490206334497,0.005744746265227807
New York County,2017-12-31,3181.642699203959,0.0019619293003467764
New York County,2018-01-31,3167.3565430563795,0.001861310058342669
New York County,2018-02-28,3174.055254627194,0.003680445124317089
New York County,2018-03-31,3197.170223318853,0.007878460319102443
New York County,2018-04-30,3224.318275839802,0.011313694065756552
New York County,2018-05-31,3256.163707881091,0.01478326476811298
New York County,2018-06-30,3283.3357861673376,0.017435480679465654
New York County,2018-07-31,3305.8967564301156,0.020550376324731667
New York County,2018-08-31,3319.396171137499,0.022713411249131177
New York County,2018-09-30,3322.6894092307884,0.0249949347753462
New York County,2018-10-31,3310.774709384526,0.025183197057379036
New York County,2018-11-30,3287.0721680780634,0.027978451122929737
New York County,2018-12-31,3265.119376168247,0.031292520973226656
New York County,2019-01-31,3254.498673262956,0.03346078543531483
New York County,2019-02-28,3262.114861657857,0.033215922175309
New York County,2019-03-31,3281.341230416773,0.033856583373681026
New York County,2019-04-30,3309.8912224407777,0.035091034644524566
New York County,2019-05-31,3341.289591638339,0.03636288439101554
New York County,2019-06-30,3372.4378584526685,0.03712408337954343
New York County,2019-07-31,3395.8978286646993,0.03791413767411389
New York County,2019-08-31,3409.2891353692066,0.039825194607488124
New York County,2019-09-30,3409.747156123831,0.04266726366376594
New York County,2019-10-31,3393.8052149333257,0.045214057450067235
New York County,2019-11-30,3367.919944262969,0.04838294529956544
New York County,2019-12-31,3347.6194466683623,0.052166997729169884
New York County,2020-01-31,3346.351865324624,0.05651252703477483
New York County,2020-02-29,3364.642249399802,0.060045266853740786
New York County,2020-03-31,3384.8570754433954,0.058704053589524685
New York County,2020-04-30,3374.990845366748,0.04673005473930836
New York County,2020-05-31,3341.0976540912507,0.026084052839416172
New York County,2020-06-30,3284.72856868403,4.2419740392074523e-4
New York County,2020-07-31,3222.2299654977423,-0.025308349623937132
New York County,2020-08-31,NA,NA
New York County,2020-09-30,NA,NA
New York County,2020-10-31,2922.5891130744126,-0.11724917289291403
New York County,2020-11-30,2850.5008438493774,-0.13281464534560172
New York County,2020-12-31,2809.7472623756844,-0.13946568603778298
New York County,2021-01-31,2789.218254927673,-0.14296531203338714
